Typ;Grundform/Lemma;Wortstamm;Bedarfsbereiche/Warenbedarf;Untergruppe;Bedeutung;Literatur;Bibliographie
spezialisierter Händlerbegriff;annularius;annulari;Schmuck- und Zierbedarf;Ringe;Ring-/Schmuckhersteller(/-händler);Schlippschuh 1974;
spezialisierter Händlerbegriff;anularius;anulari;Schmuck- und Zierbedarf;Ringe;Ring-/Schmuckhersteller(/-händler);Schlippschuh 1974;
spezialisierter Händlerbegriff;argentarius;argentari;Schmuck- und Zierbedarf;Silber;Händler von Silbergeschirr(-waren), Geldwechsler, Bänker;Schlippschuh 1974;
spezialisierter Händlerbegriff;aromatarius;aromatari;Lebensmittelbedarf;Gewürze;Gewürzhändler;Wissemann 1984;
spezialisierter Händlerbegriff;arundarius;arundari;Arbeits- und Betriebsmittelbedarf;Rohr;Rohrhändler;Wissemann 1984;
spezialisierter Händlerbegriff;aurarius;auriari;Schmuck- und Zierbedarf;Gold;Goldschmied, Juwelier,(Goldschmuckhändler);Eigene Recherche;
spezialisierter Händlerbegriff;bellarius;bellari;Lebensmittelbedarf;Konfekt;Händler mit Konfekt;Wissemann 1984;
spezialisierter Händlerbegriff;bibliopola;bibliopola;Bildungs- und Unterhaltungsbedarf;Bücher;Buchhändler;Wissemann 1984;
spezialisierter Händlerbegriff;bolonae;bolona;Lebensmittelbedarf;Fisch;Fischgrosshändler;Wissemann 1984;
spezialisierter Händlerbegriff;botularius;botulari;Lebensmittelbedarf;Wurst;Händler und/ oder Hersteller mit Wurst;Wissemann 1984;
spezialisierter Händlerbegriff;braccarius;braccari;Kleidungs- und Schutzbedarf;Hosen;Händler und/ oder Hersteller mit Hosen;Wissemann 1984;
spezialisierter Händlerbegriff;buccones;buccon;Lebensmittelbedarf;Fisch;Händler mit verschiedenen Fischsorten;Wissemann 1984;
spezialisierter Händlerbegriff;calceolarius;calceolari;Kleidungs- und Schutzbedarf;Schuhe;Schuhmacher;Schlippschuh 1974;
spezialisierter Händlerbegriff;calciarius;calciari;Kleidungs- und Schutzbedarf;Schuhe/Sohlen;Sohlenmacher;Eigene Recherche;
spezialisierter Händlerbegriff;caligarius;caligari;Kleidungs- und Schutzbedarf;Soldatenstiefel/Sandalen;Soldatenstiefel-, Sandalenmacher/-händler;Schlippschuh 1974;
spezialisierter Händlerbegriff;capidarius;capidari;Wohn- und Ausstattungsbedarf;Henkelschale;Händler und/ oder Hersteller mit Henkelschalen;Wissemann 1984;
spezialisierter Händlerbegriff;capistrarius;capistrari;Arbeits- und Betriebsmittelbedarf;Zaumzeug;Hersteller und Händler von Halfter/Zaumzeug;Schlippschuh 1974;
spezialisierter Händlerbegriff;capsarius;capsari;Wohn- und Ausstattungsbedarf;Kästchen;Händler mit Kästchen;Wissemann 1984;
spezialisierter Händlerbegriff;caracterarius;caracterari;Arbeits- und Betriebsmittelbedarf;Stein;Steinhändler, Händler von bearbeiteten Steinen;Schlippschuh 1974;
spezialisierter Händlerbegriff;carbonarius;carbonari;Arbeits- und Betriebsmittelbedarf;Kohle;Kohlenhändler oder Köhler;;
spezialisierter Händlerbegriff;ceparius;cepari;Lebensmittelbedarf;Zwiebel;Zwiebelhändler;Wissemann 1984;
spezialisierter Händlerbegriff;cerarius;cerari;Wohn- und Ausstattungsbedarf;Kerzen;Händler mit Kerzen;Wissemann 1984;
spezialisierter Händlerbegriff;ceriolarius;ceriolari;Wohn- und Ausstattungsbedarf;Kerzen;Händler mit Kerzen;Wissemann 1984;
spezialisierter Händlerbegriff;cervesarius;cervesari;Lebensmittelbedarf;Bier;Bierbrauer,-händler versch. Biersorten;Schlippschuh 1974;
spezialisierter Händlerbegriff;cetarius;cetari;Lebensmittelbedarf;Fisch;See- oder Thunfischhändler;Wissemann 1984;
spezialisierter Händlerbegriff;chartarius;chartari;Bildungs- und Unterhaltungsbedarf;Papier;Papierhändler / Händler mit Papyruspapier;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;chartopola;chartopola;Bildungs- und Unterhaltungsbedarf;Papier;Papierhändler;Wissemann 1984;
spezialisierter Händlerbegriff;chartoprates;chartoprat;Bildungs- und Unterhaltungsbedarf;Papier;Papierhändler;Wissemann 1984;
spezialisierter Händlerbegriff;cicerarius;cicerari;Lebensmittelbedarf;Hülsenfrüchte;Kichererbsenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;ciliciarius;ciliciari;Wohn- und Ausstattungsbedarf;Teppich;Händler mit Haarteppichen aus Kilikien;Wissemann 1984;
spezialisierter Händlerbegriff;citrarius;citrari;Wohn- und Ausstattungsbedarf;Holz;Händler mit Gegenständen aus Zitrusholz;Wissemann 1984;
spezialisierter Händlerbegriff;claustrarius;claustrari;Wohn- und Ausstattungsbedarf;Türriegel;Händler mit Türriegeln;Wissemann 1984;
spezialisierter Händlerbegriff;condimentarius;condimentari;Lebensmittelbedarf;Gewürze;Gewürzhändler;Wissemann 1984;
spezialisierter Händlerbegriff;conditarius;conditari;Lebensmittelbedarf;Konserven;Händler mit konservierten Nahrungsmitteln;Wissemann 1984;
spezialisierter Händlerbegriff;corollaria;corollari;Schmuck- und Zierbedarf;Kränze;Kranzhändlerin;Wissemann 1984;
spezialisierter Händlerbegriff;cotiarius;cotiari;Arbeits- und Betriebsmittelbedarf;Stein;Händler mit Schleifsteinen;Wissemann 1984;
spezialisierter Händlerbegriff;crepidarius;crepidari;Kleidungs- und Schutzbedarf;Schuhe;Händler mit Halbschuhen;Wissemann 1984;
spezialisierter Händlerbegriff;cretarius;cretari;Wohn- und Ausstattungsbedarf;Hausrat;Töpferwarenhändler, Händler für Hausrat wie Lampen, Leuchter, Tongeschirr und Glas, Spiegel usw.;Schlippschuh 1974;
spezialisierter Händlerbegriff;crustarius;crustari;Wohn- und Ausstattungsbedarf;Reliefarbeit;Händler mit Reliefarbeiten;Wissemann 1984;
spezialisierter Händlerbegriff;crustularius;crustulari;Lebensmittelbedarf;Gebäck;Händler mit Gebäck;Wissemann 1984;
spezialisierter Händlerbegriff;cucullarius;cucullari;Kleidungs- und Schutzbedarf;Mäntel;Händler mit Kapuzenmänteln;Wissemann 1984;
spezialisierter Händlerbegriff;culcitarius;culcitari;Wohn- und Ausstattungsbedarf;Polster;Händler oder Hersteller von Polstern;Wissemann 1984;
spezialisierter Händlerbegriff;cullearius;culleari;Arbeits- und Betriebsmittelbedarf;Ledersäcke, Weinschläuche;Händler mit Ledersäcken und Weinschläuchen;Wissemann 1984;
spezialisierter Händlerbegriff;cultrarius;cultrari;Arbeits- und Betriebsmittelbedarf;Messer;Händler und/ oder Hersteller mit Messern;Wissemann 1984;
spezialisierter Händlerbegriff;cuparius;cupari;Arbeits- und Betriebsmittelbedarf;Fässer;Fasshersteller, (-händler) Transportgefäßhersteller;Schlippschuh 1974;
spezialisierter Händlerbegriff;cuppedinarius;cuppedinari;Lebensmittelbedarf;Süßwaren;Händler und/ oder Hersteller mit Süsswaren;Wissemann 1984;
spezialisierter Händlerbegriff;cybiosactes;cybiosact;Lebensmittelbedarf;Fisch;Händler mit gepökeltem Fisch;Wissemann 1984;
spezialisierter Händlerbegriff;diabathrarius;diabathrari;Kleidungs- und Schutzbedarf;Schuhe;Händler mit leichten Schuhen;Wissemann 1984;
